322 | loss 6.9375 | lr 1.000000e-03 | 1891.07ms
323 | loss 6.6875 | lr 1.000000e-03 | 1896.65ms
324 | loss 6.5312 | lr 1.000000e-03 | 1895.02ms
325 | loss 7.0000 | lr 1.000000e-03 | 1898.34ms
326 | loss 6.7188 | lr 1.000000e-03 | 1900.40ms
327 | loss 6.9375 | lr 1.000000e-03 | 1900.29ms
328 | loss 6.6875 | lr 1.000000e-03 | 1898.57ms
329 | loss 6.9062 | lr 1.000000e-03 | 1901.01ms
330 | loss 6.4688 | lr 1.000000e-03 | 1895.12ms
331 | loss 6.6562 | lr 1.000000e-03 | 1892.42ms
332 | loss 6.8750 | lr 1.000000e-03 | 1892.98ms
333 | loss 6.9062 | lr 1.000000e-03 | 1898.48ms
334 | loss 6.9375 | lr 1.000000e-03 | 1895.83ms
335 | loss 6.7188 | lr 1.000000e-03 | 1894.55ms
336 | loss 6.6562 | lr 1.000000e-03 | 1896.93ms
337 | loss 6.8125 | lr 1.000000e-03 | 1894.04ms
338 | loss 6.7500 | lr 1.000000e-03 | 1898.73ms
339 | loss 6.7500 | lr 1.000000e-03 | 1896.93ms
340 | loss 6.6250 | lr 1.000000e-03 | 1890.51ms
341 | loss 7.1562 | lr 1.000000e-03 | 1898.81ms
342 | loss 6.4375 | lr 1.000000e-03 | 1893.52ms
343 | loss 6.8125 | lr 1.000000e-03 | 1895.38ms
344 | loss 6.7188 | lr 1.000000e-03 | 1898.26ms
345 | loss 6.6250 | lr 1.000000e-03 | 1896.23ms
346 | loss 6.8750 | lr 1.000000e-03 | 1891.54ms
347 | loss 6.8438 | lr 1.000000e-03 | 1898.00ms
348 | loss 6.7500 | lr 1.000000e-03 | 1898.88ms
349 | loss 6.5625 | lr 1.000000e-03 | 1891.81ms
350 | loss 7.1875 | lr 1.000000e-03 | 1895.10ms
351 | loss 6.5000 | lr 1.000000e-03 | 1897.31ms
352 | loss 6.5000 | lr 1.000000e-03 | 1891.92ms
353 | loss 6.6562 | lr 1.000000e-03 | 1898.84ms
354 | loss 6.8438 | lr 1.000000e-03 | 1893.48ms
355 | loss 7.0312 | lr 1.000000e-03 | 1892.11ms
356 | loss 6.7812 | lr 1.000000e-03 | 1898.53ms
357 | loss 7.0312 | lr 1.000000e-03 | 1894.71ms
358 | loss 6.5000 | lr 1.000000e-03 | 1893.94ms
359 | loss 7.0312 | lr 1.000000e-03 | 1894.62ms
360 | loss 6.6562 | lr 1.000000e-03 | 1898.68ms
361 | loss 6.9375 | lr 1.000000e-03 | 1890.30ms
362 | loss 6.0938 | lr 1.000000e-03 | 1894.20ms
363 | loss 6.5000 | lr 1.000000e-03 | 1896.18ms
364 | loss 6.6562 | lr 1.000000e-03 | 1896.12ms
365 | loss 6.5938 | lr 1.000000e-03 | 1892.67ms
366 | loss 6.7812 | lr 1.000000e-03 | 1893.67ms
367 | loss 6.6875 | lr 1.000000e-03 | 1893.53ms
368 | loss 6.5938 | lr 1.000000e-03 | 1892.28ms
369 | loss 6.5312 | lr 1.000000e-03 | 1890.62ms
370 | loss 6.7812 | lr 1.000000e-03 | 1888.72ms
371 | loss 6.5000 | lr 1.000000e-03 | 1891.93ms
372 | loss 6.9688 | lr 1.000000e-03 | 1891.06ms
373 | loss 6.7500 | lr 1.000000e-03 | 1893.33ms
374 | loss 6.9062 | lr 1.000000e-03 | 1895.07ms
375 | loss 6.8438 | lr 1.000000e-03 | 1902.91ms
376 | loss 6.8125 | lr 1.000000e-03 | 1889.39ms
377 | loss 6.7500 | lr 1.000000e-03 | 1895.79ms
378 | loss 6.8125 | lr 1.000000e-03 | 1897.73ms
379 | loss 6.3438 | lr 1.000000e-03 | 1892.42ms
380 | loss 6.6250 | lr 1.000000e-03 | 1894.50ms
381 | loss 6.5938 | lr 1.000000e-03 | 1892.48ms
382 | loss 6.4062 | lr 1.000000e-03 | 1896.12ms
383 | loss 6.5938 | lr 1.000000e-03 | 1903.60ms
384 | loss 6.6250 | lr 1.000000e-03 | 1898.20ms
385 | loss 7.0312 | lr 1.000000e-03 | 1895.78ms
386 | loss 6.6875 | lr 1.000000e-03 | 1898.50ms
387 | loss 6.6562 | lr 1.000000e-03 | 1901.59ms
388 | loss 6.8438 | lr 1.000000e-03 | 1898.30ms
389 | loss 6.7188 | lr 1.000000e-03 | 1888.73ms
390 | loss 6.5938 | lr 1.000000e-03 | 1896.23ms
391 | loss 6.5938 | lr 1.000000e-03 | 1894.41ms
392 | loss 6.4688 | lr 1.000000e-03 | 1895.82ms
393 | loss 6.8125 | lr 1.000000e-03 | 1897.96ms
394 | loss 6.7188 | lr 1.000000e-03 | 1891.10ms
395 | loss 6.5312 | lr 1.000000e-03 | 1899.33ms
396 | loss 6.7812 | lr 1.000000e-03 | 1891.21ms
397 | loss 6.5000 | lr 1.000000e-03 | 1895.09ms
398 | loss 6.5938 | lr 1.000000e-03 | 1896.50ms
